CIC_AEM_VERS = 3.0
CREATION_DATE  = 2026-07-17T02:16:57.670
ORIGINATOR     = CNES

META_START

COMMENT Earth orientation in inertial frame
COMMENT days (MJD), sec (UTC), q0 (real part), q1, q2, q3

OBJECT_NAME = EARTH
OBJECT_ID = EARTH

REF_FRAME_A = ICRF
REF_FRAME_B = ECF
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = FIRST

META_STOP

60676 65065.59004 0.994124 0.000114 0.001210 0.108243
60676 65155.94372 0.993762 0.000118 0.001209 0.111517
60676 65246.29739 0.993389 0.000122 0.001209 0.114791
60676 65336.65107 0.993005 0.000126 0.001209 0.118063
60676 65427.00475 0.992611 0.000130 0.001208 0.121333
60676 65517.35843 0.992206 0.000134 0.001208 0.124603
60676 65607.71210 0.991790 0.000138 0.001207 0.127871
60676 65698.06578 0.991363 0.000142 0.001207 0.131137
60676 65788.41946 0.990926 0.000146 0.001206 0.134402
60676 65878.77314 0.990478 0.000150 0.001206 0.137666
60676 65969.12682 0.990019 0.000154 0.001205 0.140928
60676 66059.48049 0.989549 0.000158 0.001205 0.144189
60676 66149.83417 0.989069 0.000162 0.001204 0.147448
60676 66240.18785 0.988578 0.000166 0.001204 0.150706
60676 66330.54153 0.988076 0.000170 0.001203 0.153961
60676 66420.89521 0.987564 0.000174 0.001203 0.157216
60676 66511.24888 0.987040 0.000178 0.001202 0.160468
60676 66601.60256 0.986506 0.000182 0.001201 0.163719
60676 66691.95624 0.985962 0.000186 0.001201 0.166968
60676 66782.30992 0.985406 0.000190 0.001200 0.170215
60676 66872.66359 0.984840 0.000194 0.001200 0.173461
60676 66963.01727 0.984263 0.000198 0.001199 0.176704
60676 67053.37095 0.983676 0.000202 0.001198 0.179946
60676 67143.72463 0.983078 0.000206 0.001198 0.183185
60676 67234.07831 0.982469 0.000210 0.001197 0.186423
60676 67324.43198 0.981849 0.000213 0.001196 0.189658
60676 67414.78566 0.981219 0.000217 0.001196 0.192892
60676 67505.13934 0.980579 0.000221 0.001195 0.196123
60676 67595.49302 0.979927 0.000225 0.001194 0.199353
60676 67685.84669 0.979265 0.000229 0.001193 0.202580
60676 67776.20037 0.978592 0.000233 0.001193 0.205805
60676 67866.55405 0.977909 0.000237 0.001192 0.209027
60676 67956.90773 0.977215 0.000241 0.001191 0.212248
60676 68047.26141 0.976511 0.000245 0.001190 0.215466
60676 68137.61508 0.975796 0.000249 0.001189 0.218682
60676 68227.96876 0.975070 0.000253 0.001189 0.221895
60676 68318.32244 0.974334 0.000257 0.001188 0.225106
60676 68408.67612 0.973587 0.000261 0.001187 0.228315
60676 68499.02980 0.972829 0.000264 0.001186 0.231521
60676 68589.38347 0.972061 0.000268 0.001185 0.234724
60676 68679.73715 0.971283 0.000272 0.001184 0.237925
60676 68770.09083 0.970494 0.000276 0.001183 0.241124
60676 68860.44451 0.969694 0.000280 0.001182 0.244320
60676 68950.79818 0.968884 0.000284 0.001181 0.247513
60676 69041.15186 0.968063 0.000288 0.001181 0.250703
60676 69131.50554 0.967232 0.000292 0.001180 0.253891
60676 69221.85922 0.966390 0.000296 0.001179 0.257076
60676 69312.21290 0.965538 0.000300 0.001178 0.260258
60676 69402.56657 0.964676 0.000303 0.001177 0.263438
60676 69492.92025 0.963803 0.000307 0.001176 0.266614
60676 69583.27393 0.962919 0.000311 0.001175 0.269788
60676 69673.62761 0.962025 0.000315 0.001174 0.272959
60676 69763.98129 0.961121 0.000319 0.001173 0.276126
60676 69854.33496 0.960206 0.000323 0.001171 0.279291
60676 69944.68864 0.959280 0.000327 0.001170 0.282453
60676 70035.04232 0.958345 0.000330 0.001169 0.285612
60676 70125.39600 0.957399 0.000334 0.001168 0.288767
60676 70215.74967 0.956442 0.000338 0.001167 0.291919
60676 70306.10335 0.955475 0.000342 0.001166 0.295069
60676 70396.45703 0.954498 0.000346 0.001165 0.298215
60676 70486.81071 0.953510 0.000350 0.001164 0.301358
60676 70577.16439 0.952512 0.000353 0.001163 0.304497
60676 70667.51806 0.951504 0.000357 0.001161 0.307633
60676 70757.87174 0.950486 0.000361 0.001160 0.310766
60676 70848.22542 0.949457 0.000365 0.001159 0.313896
60676 70938.57910 0.948417 0.000369 0.001158 0.317022
60676 71028.93277 0.947368 0.000373 0.001157 0.320145
60676 71119.28645 0.946308 0.000376 0.001155 0.323264
60676 71209.64013 0.945238 0.000380 0.001154 0.326380
60676 71299.99381 0.944158 0.000384 0.001153 0.329492
60676 71390.34749 0.943067 0.000388 0.001152 0.332600
60676 71480.70116 0.941966 0.000392 0.001150 0.335705
60676 71571.05484 0.940855 0.000395 0.001149 0.338807
60676 71661.40852 0.939734 0.000399 0.001148 0.341904
60676 71751.76220 0.938603 0.000403 0.001146 0.344998
60676 71842.11588 0.937461 0.000407 0.001145 0.348089
60676 71932.46955 0.936309 0.000410 0.001144 0.351175
60676 72022.82323 0.935147 0.000414 0.001142 0.354258
60676 72113.17691 0.933975 0.000418 0.001141 0.357336
60676 72203.53059 0.932793 0.000422 0.001140 0.360411
60676 72293.88426 0.931600 0.000426 0.001138 0.363482
60676 72384.23794 0.930398 0.000429 0.001137 0.366549
60676 72474.59162 0.929185 0.000433 0.001135 0.369612
60676 72564.94530 0.927963 0.000437 0.001134 0.372671
60676 72655.29898 0.926730 0.000440 0.001132 0.375726
60676 72745.65265 0.925487 0.000444 0.001131 0.378777
60676 72836.00633 0.924234 0.000448 0.001130 0.381824
60676 72926.36001 0.922971 0.000452 0.001128 0.384867
60676 73016.71369 0.921698 0.000455 0.001127 0.387905
60676 73107.06737 0.920416 0.000459 0.001125 0.390940
60676 73197.42104 0.919123 0.000463 0.001124 0.393970
60676 73287.77472 0.917820 0.000466 0.001122 0.396995
60676 73378.12840 0.916507 0.000470 0.001120 0.400017
60676 73468.48208 0.915184 0.000474 0.001119 0.403034
60676 73558.83575 0.913852 0.000478 0.001117 0.406047
60676 73649.18943 0.912509 0.000481 0.001116 0.409055
60676 73739.54311 0.911156 0.000485 0.001114 0.412059
60676 73829.89679 0.909794 0.000489 0.001113 0.415058
60676 73920.25047 0.908422 0.000492 0.001111 0.418053
60676 74010.60414 0.907040 0.000496 0.001109 0.421044
60676 74100.95782 0.905648 0.000500 0.001108 0.424029
60676 74191.31150 0.904246 0.000503 0.001106 0.427011
60676 74281.66518 0.902834 0.000507 0.001104 0.429987
60676 74372.01886 0.901413 0.000510 0.001103 0.432959
60676 74462.37253 0.899982 0.000514 0.001101 0.435926
60676 74552.72621 0.898541 0.000518 0.001099 0.438889
60676 74643.07989 0.897090 0.000521 0.001098 0.441847
60676 74733.43357 0.895629 0.000525 0.001096 0.444799
60676 74823.78724 0.894159 0.000529 0.001094 0.447748
60676 74914.14092 0.892679 0.000532 0.001092 0.450691
60676 75004.49460 0.891190 0.000536 0.001091 0.453629
60676 75094.84828 0.889690 0.000539 0.001089 0.456563
60676 75185.20196 0.888182 0.000543 0.001087 0.459491
60676 75275.55563 0.886663 0.000547 0.001085 0.462415
60676 75365.90931 0.885135 0.000550 0.001084 0.465333
60676 75456.26299 0.883597 0.000554 0.001082 0.468246
60676 75546.61667 0.882050 0.000557 0.001080 0.471155
60676 75636.97034 0.880493 0.000561 0.001078 0.474058
60676 75727.32402 0.878926 0.000564 0.001076 0.476956
60676 75817.67770 0.877350 0.000568 0.001074 0.479849
60676 75908.03138 0.875765 0.000571 0.001072 0.482737
60676 75998.38506 0.874170 0.000575 0.001071 0.485619
60676 76088.73873 0.872565 0.000578 0.001069 0.488496
60676 76179.09241 0.870951 0.000582 0.001067 0.491368
60676 76269.44609 0.869328 0.000585 0.001065 0.494235
60676 76359.79977 0.867695 0.000589 0.001063 0.497096
60676 76450.15345 0.866052 0.000592 0.001061 0.499952
60676 76540.50712 0.864401 0.000596 0.001059 0.502802
60676 76630.86080 0.862740 0.000599 0.001057 0.505647
60676 76721.21448 0.861069 0.000603 0.001055 0.508486
60676 76811.56816 0.859389 0.000606 0.001053 0.511320
60676 76901.92183 0.857700 0.000610 0.001051 0.514149
60676 76992.27551 0.856002 0.000613 0.001049 0.516971
