元器件大类,元器件子类,降额参数,I级降额,II级降额,III级降额混合
电容器,钽电解电容器,最高额定环境温度(℃),TAM-20,TAM-20,TAM-20
电容器,微调电容器,直流工作电压,0.30~0.40,0.50,0.50
电容器,微调电容器,最高额定环境温度(℃),TAM-10,TAM-10,TAM-10
元器件大类,元器件子类,降额参数,I级降额,II级降额,III级降额
电感元件,全类型,热点温度(T_HS)(℃),T_HS-(40~25),T_HS-(25~10),T_HS-(15~0)
电感元件,全类型,工作电流,0.6~0.7,0.6~0.7,0.6~0.7
电感元件,全类型,瞬态电压/电流,0.90,0.90,0.90
电感元件,全类型,介质耐压,0.5~0.6,0.5~0.6,0.5~0.6
电感元件,扼流圈,工作电压,0.70,0.70,0.70
继电器,连续触点电流,小功率负荷(<100mW),不降额,不降额,不降额
继电器,连续触点电流-电阻负载,电阻负载,0.50,0.75,0.90
继电器,连续触点电流-电容负载,电容负载(最大浪涌电流),0.50,0.75,0.90
继电器,连续触点电流-电感负载,电感额定电流的,0.50,0.75,0.90
继电器,连续触点电流-电感负载,电阻额定电流的,0.35,0.40,0.75
继电器,连续触点电流-电机负载,电机额定电流的,0.50,0.75,0.90
继电器,连续触点电流-电机负载,电阻额定电流的,0.15,0.20,0.75
继电器,连续触点电流-灯丝负载,灯泡额定电流的,0.50,0.75,0.90
继电器,连续触点电流-灯丝负载,电阻额定电流的,0.07-0.08,0.10,0.30
继电器,全类型,触点功率(用于舌簧水银式),0.40,0.50,0.70
继电器,线圈吸合电压,最小维持电压,0.90,0.90,0.90
继电器,线圈吸合电压,最小线圈电压,1.10,1.10,1.10
继电器,线圈释放电压,最大允许值,1.10,1.10,1.10
继电器,线圈释放电压,最小允许值,0.90,0.90,0.90
继电器,全类型,最高额定环境温度(T_AM)(℃),T_AM-20,T_AM-20,T_AM-20
继电器,全类型,振动限值,0.60,0.60,0.60
继电器,全类型,工作寿命(循环次数),0.50,-,-
元器件大类,元器件子类,降额参数,I级降额,II级降额,III级降额
开关,连续触点电流,小功率负载(<100mW),不降额,不降额,不降额
开关,连续触点电流-电阻负载,电阻负载,0.50,0.75,0.90
开关,连续触点电流-电容负载,电容负载(电阻额定电流的),0.50,0.75,0.90
开关,连续触点电流-电感负载,电感额定电流,0.50,0.75,0.90
开关,连续触点电流-电感负载,电阻额定电流,0.35,0.40,0.50
开关,连续触点电流-电机负载,电机额定电流,0.50,0.75,0.90
开关,连续触点电流-电机负载,电阻额定电流,0.15,0.20,0.35
开关,连续触点电流-灯泡负载,灯泡额定电流,0.50,0.75,0.90
开关,连续触点电流-灯泡负载,电阻额定电流,0.07-0.08,0.10,0.15
开关,全类型,触点电压,0.40,0.50,0.70
开关,全类型,触点功率,0.40,0.50,0.70
连接器,全类型,工作电压,0.50,0.70,0.80
连接器,全类型,工作电流,0.50,0.70,0.85
连接器,全类型,最高接触对额定温度T_M(℃),T_M-50,T_M-25,T_M-20
电机,全类型,最高工作温度(℃),T-40,T-20,T-15
电机,全类型,低温极限(℃),0,0,0
电机,全类型,轴承载荷额定值,0.75,0.90,0.90
灯泡,白炽灯,工作电压(如可行),0.94,0.94,0.94
灯泡,氖/氩灯,工作电压(如可行),0.94,0.94,0.94
电路断路器,电流-阻性负载,阻性负载,0.75,0.75,0.9
电路断路器,电流-容性负载,容性负载,0.75,0.75,0.9
电路断路器,电流-感性负载,感性负载,0.40,0.40,0.50
电路断路器,电流-电机负载,电机负载,0.20,0.20,0.35
电路断路器,电流-灯丝负载,灯丝负载,0.10,0.10,0.15
电路断路器,全类型,最高额定环境温度T_AM(℃),T_AM-20,T_AM-20,T_AM-20
保险丝,电流额定值,>0.5A,0.45~0.5,0.45~0.5,0.45~0.5
保险丝,电流额定值,≤0.5A,0.20~0.4,0.2~0.4,0.2~0.4
保险丝,全类型,T>25℃时增加降额(1/℃),0.005,0.005,0.005
晶体,全类型,最低温度(℃),T_L+10,T_L+10,T_L+10
晶体,全类型,最高温度(℃),T_U-10,T_U-10,T_U-10
微波管,全类型,最高额定环境温度(℃),T_AM-20,T_AM-20,T_AM-20
微波管,全类型,输出功率,0.80,0.80,0.80
微波管,全类型,反射功率,0.50,0.50,0.50
微波管,全类型,占空比,0.75,0.75,0.75
声表面波器件,全类型,输入功率(f>100MHz),降低+10dBm,降低+10dBm,降低+10dBm
声表面波器件,全类型,输入功率(f<100MHz),降低+20dBm,降低+20dBm,降低+20dBm
纤维光学器件,光纤光源,峰值光输出功率,0.50(适用于ILD),0.50(适用于ILD),0.50(适用于ILD)
纤维光学器件,光纤光源,电流,0.50(适用于LED),0.50(适用于LED),0.50(适用于LED)
纤维光学器件,光纤光源,结温,设法降低,设法降低,设法降低
纤维光学器件,光纤探测器,PIN反向压降,0.60,0.60,0.60
纤维光学器件,光纤探测器,结温,设法降低,设法降低,设法降低
纤维光学器件,光纤与光缆,温度(℃),上限额定值-20；下限额定值+20,上限额定值-20；下限额定值+20,上限额定值-20；下限额定值+20
纤维光学器件,光纤与光缆-光纤,张力,耐拉试验的0.20,耐拉试验的0.20,耐拉试验的0.20
纤维光学器件,光纤与光缆-光缆,张力,拉伸额定值的0.50,拉伸额定值的0.50,拉伸额定值的0.50
纤维光学器件,光纤与光缆,弯曲半径,最小允许值的2.0倍,最小允许值的2.0倍,最小允许值的2.0倍
纤维光学器件,光纤与光缆,核辐射,按产品详细规范降额或加固,按产品详细规范降额或加固,按产品详细规范降额或加固
导线与电缆,全类型,最大应用电压,最大绝缘电压规定值的0.50,最大绝缘电压规定值的0.50,最大绝缘电压规定值的0.50
导线与电缆,单根导线(AWG30),最大应用电流(A),1.3,1.3,1.3
导线与电缆,单根导线(AWG28),最大应用电流(A),1.8,1.8,1.8
导线与电缆,单根导线(AWG26),最大应用电流(A),2.5,2.5,2.5
导线与电缆,单根导线(AWG24),最大应用电流(A),3.3,3.3,3.3
导线与电缆,单根导线(AWG22),最大应用电流(A),4.5,4.5,4.5
导线与电缆,单根导线(AWG20),最大应用电流(A),6.5,6.5,6.5
导线与电缆,单根导线(AWG18),最大应用电流(A),9.2,9.2,9.2
导线与电缆,单根导线(AWG16),最大应用电流(A),13.0,13.0,13.0
导线与电缆,单根导线(AWG14),最大应用电流(A),17.0,17.0,17.0
导线与电缆,单根导线(AWG12),最大应用电流(A),23.0,23.0,23.0
导线与电缆,单根导线(AWG10),最大应用电流(A),33.0,33.0,33.0
导线与电缆,单根导线(AWG8),最大应用电流(A),44.0,44.0,44.0
导线与电缆,单根导线(AWG6),最大应用电流(A),60.0,60.0,60.0
导线与电缆,单根导线(AWG4),最大应用电流(A),81.0,81.0,81.0
