DefaultSC.A1ModJulian     DefaultSC.ElapsedSecs     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   
31257.67529942252         708.8357369997539         4477.85115892485            4719.928078493072           1264.243175348472           -5.724090237627355           5.055303240683843            1.352720918615486            
31257.67541576871         718.8880474423058         4420.002082470443           4770.41743805815            1277.752995077319           -5.785385122616086           4.989904688359855            1.335151232031683            
31257.67554230983         729.8212004592642         4356.38924406033            4824.580436155083           1292.244990078772           -5.851143209223908           4.917988553567583            1.31583077403155             
31257.67567062535         740.9076618379913         4291.155646618688           4878.695475066128           1306.723274173594           -5.916846679693195           4.844238315355383            1.296017813468181            
31257.67579776977         751.8929393962026         4225.804342196063           4931.505682947488           1320.851562237853           -5.980969535025584           4.770353173019574            1.276168850661302            
31257.67591497366         762.0193555019796         4164.942986734732           4979.464426053622           1333.681134579722           -6.039204932411923           4.70154263669421             1.257683378981344            
31257.67592074903         762.5183475902304         4161.928761188808           4981.809608011768           1334.308480123996           -6.042052724531709           4.698134677457587            1.256767859932728            
31257.67605626247         774.2267085704952         4090.797405631859           5036.347104765028           1348.896921773557           -6.10828070547122            4.617710627673697            1.235162779088332            
31257.67617502348         784.4876598799601         4027.826930337345           5083.364493609229           1361.472891064715           -6.165380125315023           4.546511756898416            1.216036189479289            
31257.67627165822         792.836901708506          3976.159045697895           5121.080837315202           1371.560436849101           -6.211186530176994           4.48809108864812             1.200342458843387            
31257.67639145155         803.187045478262          3911.581980200666           5167.155914900169           1383.882796688339           -6.267147713089285           4.415072397404888            1.180727434387906            
31257.67651665596         814.0047058230266         3843.474150011528           5214.500754079269           1396.543779060119           -6.324654837619541           4.338059378035928            1.16003967946487             
31257.6766216422          823.075516987592          3785.888698645807           5253.555510274309           1406.987046290531           -6.372095446665442           4.272942928057124            1.142547876329495            
31257.67674328914         833.5858128382824         3718.631089058534           5298.066286613887           1418.888351141419           -6.426167044919476           4.196887503531366            1.122117860461614            
31257.67690156918         847.2612085752189         3630.277713313425           5354.778422439822           1434.05057064002            -6.49506644644641            4.09697369854621             1.095279420503575            
31257.67702537945         857.9584153136238         3560.515665138896           5398.183203790554           1445.653809617112           -6.547803286808151           4.018081243391043            1.074087987574764            
31257.67712776256         866.804316022899          3502.404470187058           5433.436398106647           1455.077093860858           -6.590638982240769           3.952362784916309            1.056435473294712            
31257.67723827198         876.3523302040994         3439.259352146236           5470.833079141014           1465.072485231389           -6.636082331435701           3.880949644805013            1.037253559681129            
31257.67733920565         885.0729996222071         3381.20994259337            5504.391588389821           1474.041218613779           -6.676864525665147           3.815297790472387            1.019619376245608            
31257.67743681413         893.5063720797189         3324.737488091121           5536.298356344118           1482.56777956846            -6.715642080520957           3.751427902973656            1.002464036548069            
31257.67752706314         901.3038862380199         3272.234291248016           5565.31885595988            1490.322377531651           -6.750914188103572           3.692045867510509            0.9865143086579584           
31257.67760947875         908.4245954523794         3224.049782376044           5591.414958509206           1497.294983628182           -6.78263392003974            3.637547197149136            0.9718763850258743           
31257.677695533           915.8596819848754         3173.498734868549           5618.248051886987           1504.463924222934           -6.815251519527679           3.580370689036416            0.9565193763650905           
31257.67777481819         922.7099230047315         3126.711001372566           5642.593324496146           1510.967663425467           -6.844846871895279           3.527449647194423            0.942305489627019            
31257.67787397112         931.2767355702817         3067.916106104391           5672.527714844855           1518.9637762945             -6.881239209072679           3.460945963019652            0.9244436899418591           
31257.67796451806         939.0999913914129         3013.954400746558           5699.365010117423           1526.13186034045            -6.913868819628926           3.399907700555387            0.9080500142227337           
31257.67807165754         948.3568430878222         2949.777881862351           5730.501760615365           1534.447385652923           -6.95172899679982            3.327313217771108            0.8885528180956683           
31257.67819788415         959.2628214508295         2873.723922243062           5766.320723613017           1544.012058419449           -6.995286879238609           3.241280751450459            0.8654468499324061           
